month,sales_total,sales_total_lag_1,sales_total_lag_2,sales_total_lag_3,sales_total_lag_6,sales_total_lag_12,sales_total_lag_24,sales_total_roll3,sales_total_roll12,sales_total_roll3_std,sales_COM_lag_1,sales_COM_lag_2,sales_COM_lag_3,sales_COM_lag_6,sales_COM_lag_12,sales_COM_lag_24,sales_COM_roll3,sales_COM_roll12,sales_COM_roll3_std,sales_IND_lag_1,sales_IND_lag_2,sales_IND_lag_3,sales_IND_lag_6,sales_IND_lag_12,sales_IND_lag_24,sales_IND_roll3,sales_IND_roll12,sales_IND_roll3_std,sales_RES_lag_1,sales_RES_lag_2,sales_RES_lag_3,sales_RES_lag_6,sales_RES_lag_12,sales_RES_lag_24,sales_RES_roll3,sales_RES_roll12,sales_RES_roll3_std,month_num,year,quarter,temp_avg_f,heating_degree_days,cooling_degree_days
2004-10,281736.72461,308565.83256,330926.52841,333907.04358,262850.98943,277380.21575,284177.96223,324466.46818333335,294143.5843575,13850.759097939457,108661.457936004,116535.77697958153,117585.365396697,92562.9759277745,97554.621879275,99817.5092332875,114260.86677076084,103551.380991771,4877.544816339505,83868.193289808,89945.830421838,90755.934445044,71442.898927074,75946.70307234999,78376.281983034,88189.98605223,80087.25840491349,3764.6363228199943,116036.181334188,124444.92100858052,125565.743738259,98845.1145751515,103878.890798375,105984.1710136785,122015.6153603425,110504.9449608155,5208.577958780204,10,2004,4,55.35,9.65,0.0
2004-11,270162.92777,281736.72461,308565.83256,330926.52841,279035.82591,262976.70136,263033.58918,307076.36186,294506.62676250003,24628.704628851883,99213.5875714115,108661.457936004,116535.77697958153,98262.46609420652,92488.905868312,92390.548199475,108136.940828999,103689.62813278237,8672.998335050337,76576.04174899799,83868.193289808,89945.830421838,75841.937482338,72003.020832368,72544.663895844,83463.355153548,80139.70329463416,6694.081918121989,105947.09528959048,116036.181334188,124444.92100858052,104931.4223334555,98484.77465932,98098.377084681,115476.065877453,110677.29533508346,9261.624375679825,11,2004,4,43.99,21.01,0.0
2004-12,300049.8776,270162.92777,281736.72461,308565.83256,307772.35889,293836.14216,286462.39615,286821.82831333333,295105.47896333336,19699.986899302115,95137.8750142055,99213.5875714115,108661.457936004,108382.0361831135,103342.171197672,100619.9166476875,101004.30684054033,103910.37556160684,6937.350386589514,73430.283767886,76576.04174899799,83868.193289808,83652.52714630199,80452.33572340799,79006.32885816999,77958.172935564,80258.641872594,5354.456439230396,101594.76898790852,105947.09528959048,116036.181334188,115737.79556058448,110041.63523892,106836.1506441425,107859.348537229,110936.4615291325,7408.180073482666,12,2004,4,35.06,29.94,0.0
2005-01,309078.80863,300049.8776,270162.92777,281736.72461,333907.04358,307856.46486,304262.59845,283983.17666,295623.29025,15069.583691825352,105662.56439684,95137.8750142055,99213.5875714115,117585.365396697,108411.654100449,107009.155874865,100004.675660819,104103.7416615375,5306.7538970766755,81553.55673168,73430.283767886,76576.04174899799,90755.934445044,83675.387148948,83307.09945560999,77186.627416188,80350.41028994998,4095.912847438243,112833.75647148,101594.76898790852,105947.09528959048,125565.743738259,115769.423610603,113946.343119525,106791.873582993,111169.1382985125,5666.916947311063,1,2005,1,33.39,31.61,0.0
2005-02,279513.81952,309078.80863,300049.8776,270162.92777,330926.52841,286433.35172,282239.57466,293097.2046666666,295725.15223083337,20368.26432138589,108981.187922938,105662.56439684,95137.8750142055,116535.77697958153,100867.504808198,99263.658407922,103260.54244466116,104151.20281341158,7227.489893893529,83389.46256837399,81553.55673168,73430.283767886,89945.830421838,77852.58499749599,77277.19554190799,79457.76768931333,80326.58324156883,5300.052771208991,116708.158138688,112833.75647148,101594.76898790852,124444.92100858052,107713.261914306,105698.72071017,110378.89453269217,111247.3661758529,7850.05689531011,2,2005,1,37.94,27.06,0.0
2005-03,286791.11859,279513.81952,309078.80863,300049.8776,308565.83256,278181.55766,274473.4193,296214.1685833333,295148.5245475,15151.126790242104,98556.572762752,108981.187922938,105662.56439684,108661.457936004,97961.635529969,96532.30156781,104400.10836084333,103958.62514295774,5325.7390793780505,75412.82850649601,83389.46256837399,81553.55673168,83868.193289808,75609.74737198799,75150.82220434,80118.61593551666,80123.27020065217,4177.435104899654,105544.418250752,116708.158138688,112833.75647148,116036.181334188,104610.174758043,102790.29552785,111695.44428697333,111066.62920389009,5668.252644635719,3,2005,1,42.31,22.69,0.0
2005-04,264167.93607,286791.11859,279513.81952,309078.80863,281736.72461,262850.98943,256709.98509,291794.5822466667,295865.98795833334,15404.48414232935,101122.54841483402,98556.572762752,108981.187922938,99213.5875714115,92562.9759277745,90284.901756153,102886.76970017467,104222.03455002984,5431.621108585656,77376.243795582,75412.82850649601,83389.46256837399,76576.04174899799,71442.898927074,70287.193917642,78726.17829015067,80270.47823595167,4156.129821600547,108292.326379584,105544.418250752,116708.158138688,105947.09528959048,98845.1145751515,96137.889416205,110181.63425634133,111373.47517235183,5816.733212143693,4,2005,2,52.25,12.75,0.0
2005-05,273500.25066,264167.93607,286791.11859,279513.81952,270162.92777,279035.82591,268788.0908,276824.29139333335,295975.7335116667,11548.907653600432,93145.614258282,101122.54841483402,98556.572762752,95137.8750142055,98262.46609420652,94532.77153436,97608.24514528934,104270.5877442388,4072.1448386600723,71272.509151686,77376.243795582,75412.82850649601,73430.283767886,75841.937482338,73594.17926104,74687.19381792133,80256.27908800266,3115.895284941568,99749.812660032,108292.326379584,105544.418250752,101594.76898790852,104931.4223334555,100661.1400046,104528.85243012267,111448.86667942522,4360.867529999661,5,2005,2,59.54,5.460000000000001,0.0
2005-06,319380.92267,273500.25066,264167.93607,286791.11859,300049.8776,307772.35889,290449.88234,274819.76844,295514.43557416665,11369.166293624805,96436.18838271602,93145.614258282,101122.54841483402,105662.56439684,108382.0361831135,102151.223618978,96901.450351944,104118.39793494792,4008.768035132693,73790.367628068,71272.509151686,77376.243795582,81553.55673168,83652.52714630199,79525.177784692,74146.37352511201,80085.31493348017,3067.401066020153,103273.694649216,99749.812660032,108292.326379584,112833.75647148,115737.79556058448,108773.48093633,103771.944562944,111310.72270573858,4292.99719247286,6,2005,2,69.19,0.0,4.189999999999998
2005-07,355514.13892,319380.92267,273500.25066,264167.93607,309078.80863,333907.04358,334208.69307,285683.0364666667,296481.81588916667,29553.911328811755,112613.713333442,96436.18838271602,93145.614258282,108981.187922938,117585.365396697,117541.197352719,100731.83865814668,104471.0376974753,10420.709134539215,86168.972936366,73790.367628068,71272.509151686,83389.46256837399,90755.934445044,91506.340162566,77077.28323870666,80295.01874931883,7973.645276513469,120598.236400192,103273.694649216,99749.812660032,116708.158138688,125565.743738259,125161.155554715,107873.91456981334,111715.75944237254,11159.55691775939,7,2005,3,75.29,0.0,10.290000000000006
